순번,행정구역,지역본부_지사,업소명,우편,주소
159,대전 유성구,대전광역본부,씨엔씨티에너지(주)(봉산CNG충전소),,대전광역시 유성구 금남구즉로 1351-1
160,서울 금천구,서울남부지사,범일에너지주식회사,8644,서울특별시 금천구 금하로 738 범일CNG충전소
161,서울 양천구,서울남부지사,중부운수(주),8033,서울특별시 양천구 지양로 106 중부운수
162,서울 중랑구,서울동부지사,(주)예스코홀딩스 중랑공영차고지충전소,2056,서울특별시 중랑구 신내역로 25 (신내동공영차고지)
163,서울 노원구,서울동부지사,진아복지에너지(주)월계CNG충전소,1906,서울특별시 노원구 마들로 145 진아교통
164,부산 연제구,부산북부지사,(주)부산버스공동환승터미널CNG충전소,47500,부산광역시 연제구 월드컵대로 420
165,부산 기장군,부산북부지사,동부산공영차고지사업부 CNG충전소,46075,부산광역시 기장군 기장읍 기장대로 313
166,경기 부천시 오정구,경기서부지사,고강공영차고지 CNG충전소,14404,경기도 부천시 오정구 봉오대로556번길 26
167,경기 시흥시,경기서부지사,주식회사 스카이비 (정왕동),15082,경기도 시흥시 희망공원로 276
168,인천 서구,인천본부,세운산업(주),22847,인천광역시 서구 보도진로18번길 24-1
169,경기 용인시 처인구,경기동부지사,(주)대원고속 죽전CNG충전소,16885,경기도 용인시 처인구 모현읍 포은대로896번길 42-3
170,경기 용인시 처인구,경기동부지사,(주)경남씨엔지,17059,경기도 용인시 처인구 신기로 170
171,경기 김포시,경기중부지사,대명CNG충전소,,경기도 김포시 대곶면 대명항로 727-13대명씨엔지(주)
172,경기 양주시,경기중부지사,(주)대원여객덕정동CNG충전소,11449,경기도 양주시 화합로1325번길 222
173,경기 고양시 일산서구,경기중부지사,서울씨엔지(주)대화충전소,10226,경기도 고양시 일산서구 대수길 105
174,부산 남구,부산광역본부,(주)항만엘엔지 BPT 감만 LNG 충전소,48481,부산광역시 남구 북항로 105 (감만동)
175,강원 원주시,강원광역본부,원주천연가스버스충전소,26505,강원도 원주시 치악로 1307
176,서울 서초구,서울광역본부,코원에너지서비스(주)서초공영CNG충전소,6792,서울특별시 서초구 양재대로 254-11 서초공영CNG충전소
